Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,100.0,101.0,99.0,100.0,100.0,1000000
2023-01-04,100.0,102.0,99.5,101.0,101.0,1100000
2023-01-05,101.0,101.5,100.0,100.5,100.5,900000
2023-01-06,100.5,103.0,100.0,102.5,102.5,1200000
2023-01-09,102.5,103.0,101.0,101.5,101.5,950000
2023-01-10,101.5,104.0,101.0,103.0,103.0,1300000
2023-01-11,103.0,103.5,102.0,102.8,102.8,1000000
2023-01-12,102.8,105.0,102.5,104.5,104.5,1400000
2023-01-13,104.5,105.0,103.0,103.5,103.5,1150000
2023-01-17,103.5,106.0,103.0,105.0,105.0,1250000
2023-01-18,105.0,106.5,104.0,105.5,105.5,1200000
2023-01-19,105.5,107.0,105.0,106.2,106.2,1180000
2023-01-20,106.2,108.0,105.5,107.0,107.0,1220000
2023-01-23,107.0,109.0,106.5,108.0,108.0,1300000
2023-01-24,108.0,110.0,107.5,109.0,109.0,1350000
